,playerId,gameWeek,firstName,secondName,position,teamId,minutes,eventPoints,totalPoints,goalsScored,assists,cleanSheets,goalsConceded,penaltiesSaved,penaltiesMissed,ownGoals,yellowCards,redCards,saves,bonus,bonusPointsSystem,dreamTeamCount,nowCost,costChangeEvent,costChangeStart,selectedByPercent,valueForm,valueSeason,transfersIn,transfersInEvent,transfersOut,transfersOutEvent,influence,creativity,threat,ictIndex,expectedGoals,expectedAssists,expectedGoalInvolvements,expectedGoalsConceded,expectedGoalsPer90,expectedAssistsPer90,expectedGoalInvolvementsPer90,expectedGoalsConcededPer90,goalsConcededPer90,startsPer90,cleanSheetsPer90
0,1,1,Fábio,Ferreira Vieira,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,-1,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1,1,2,Fábio,Ferreira Vieira,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,-1,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2,1,3,Fábio,Ferreira Vieira,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,-1,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
3,1,4,Fábio,Ferreira Vieira,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,-1,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
4,1,5,Fábio,Ferreira Vieira,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,-1,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
5,2,1,Gabriel,Fernando de Jesus,4,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,68,0,-2,0.9,0.0,0.1,0,0,0,0,0,0.8,0.0,0.1,0.0,0.0,0.0,0.15,0,0,0,0,0,0,0
6,2,2,Gabriel,Fernando de Jesus,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,-2,0.9,0.0,0.1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
7,2,3,Gabriel,Fernando de Jesus,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,-2,0.9,0.0,0.1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
8,2,4,Gabriel,Fernando de Jesus,4,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,68,0,-2,0.9,0.0,0.1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0,0,0,0,0,0,0
9,2,5,Gabriel,Fernando de Jesus,4,1,3,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,68,0,-2,0.9,0.0,0.1,0,0,0,0,10,0.0,0.0,1.0,0.0,0.0,0.0,0.69,0,0,0,0,0,0,0
