,playerId,gameWeek,firstName,secondName,position,teamId,minutes,eventPoints,totalPoints,goalsScored,assists,cleanSheets,goalsConceded,penaltiesSaved,penaltiesMissed,ownGoals,yellowCards,redCards,saves,bonus,bonusPointsSystem,dreamTeamCount,nowCost,costChangeEvent,costChangeStart,selectedByPercent,valueForm,valueSeason,transfersIn,transfersInEvent,transfersOut,transfersOutEvent,influence,creativity,threat,ictIndex,expectedGoals,expectedAssists,expectedGoalInvolvements,expectedGoalsConceded,expectedGoalsPer90,expectedAssistsPer90,expectedGoalInvolvementsPer90,expectedGoalsConcededPer90,goalsConcededPer90,startsPer90,cleanSheetsPer90,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,playerName,previousPoints,avgPointsLast3,maxPointsLast5
6712,517,5,Aaron,Cresswell,2,19,17,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,40,0,0,1.5,0.0,0.8,0,0,0,0,3,11.8,0.0,1.5,0.0,0.01,0.01,0.68,0,0,0,0,0,0,0,1100,1100,1080,1070,1120,1130,Aaron Cresswell,0.0,0.3333333333333333,1.0
6713,517,6,Aaron,Cresswell,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,1.5,0.0,0.8,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1100,1100,1080,1070,1120,1130,Aaron Cresswell,1.0,0.3333333333333333,1.0
6714,517,7,Aaron,Cresswell,2,19,7,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,40,0,0,1.5,0.0,0.8,0,0,0,0,0,0.0,1.0,0.2,0.03,0.0,0.03,0.13,0,0,0,0,0,0,0,1100,1100,1080,1070,1120,1130,Aaron Cresswell,0.0,0.6666666666666666,1.0
6715,517,8,Aaron,Cresswell,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,1.5,0.0,0.8,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1100,1100,1080,1070,1120,1130,Aaron Cresswell,1.0,0.3333333333333333,1.0
6716,517,9,Aaron,Cresswell,2,19,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,40,0,0,1.5,0.0,0.8,0,0,0,0,1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0,0,0,0,0,0,0,1100,1100,1080,1070,1120,1130,Aaron Cresswell,0.0,0.3333333333333333,1.0
6717,517,10,Aaron,Cresswell,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,1.5,0.0,0.8,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1100,1100,1080,1070,1120,1130,Aaron Cresswell,0.0,0.0,1.0
6718,517,11,Aaron,Cresswell,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,1.5,0.0,0.8,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1100,1100,1080,1070,1120,1130,Aaron Cresswell,0.0,0.0,1.0
6719,517,12,Aaron,Cresswell,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,1.5,0.0,0.8,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1100,1100,1080,1070,1120,1130,Aaron Cresswell,0.0,0.0,0.0
6720,517,13,Aaron,Cresswell,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,1.5,0.0,0.8,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1100,1100,1080,1070,1120,1130,Aaron Cresswell,0.0,0.0,0.0
1200,93,5,Aaron,Hickey,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,-2,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1090,1155,1080,1120,1100,1190,Aaron Hickey,0.0,0.0,0.0
